id,abbrev_ao,district_id,point,address,type,calculated_radius,modifier_v1,modifier_v2
52793,ЦАО,72,"{'lat': 55.7572362, 'lon': 37.6319506}",метро Китай-город,metro,400.0,0.4569863247758287,0.41324344444093486
52794,ЦАО,78,"{'lat': 55.756855, 'lon': 37.631205}",метро Китай-город,metro,400.0,0.4834739543111461,0.4383282252234383
52795,ЦАО,77,"{'lat': 55.753072, 'lon': 37.633559}",метро Китай-город,metro,400.0,0.3086616957142031,0.25790383724989413
52796,ЦАО,78,"{'lat': 55.753098, 'lon': 37.633082}",метро Китай-город,metro,400.0,0.42193267621062813,0.3685269023235804
52797,ЦАО,72,"{'lat': 55.7573154, 'lon': 37.6316766}",метро Китай-город,metro,400.0,0.46151947874808147,0.4185020017171158
52798,ЦАО,72,"{'lat': 55.754114, 'lon': 37.634966}",метро Китай-город,metro,400.0,0.37623781454149996,0.32183109389271836
52799,ЦАО,78,"{'lat': 55.7541345, 'lon': 37.6341765}",метро Китай-город,metro,400.0,0.3822948021870132,0.32399392611720085
52800,ЦАО,78,"{'lat': 55.75664, 'lon': 37.629468}",метро Китай-город,metro,400.0,0.4535605553344769,0.40439921824191605
52829,ЦАО,78,"{'lat': 55.756247, 'lon': 37.630006}",метро Китай-город,metro,400.0,0.4633668641753531,0.4151748809952681
52856,ЦАО,73,"{'lat': 55.7290528, 'lon': 37.6227295}",метро Добрынинская,metro,400.0,0.41722653923751085,0.3757210707589515
52828,ЦАО,78,"{'lat': 55.757007, 'lon': 37.630777}",метро Китай-город,metro,400.0,0.48090122115436984,0.43554370426967004
52862,ЦАО,71,"{'lat': 55.7522884, 'lon': 37.6086853}",метро Александровский сад,metro,400.0,0.29418226727470104,0.2638438681961196
54085,ЦАО,73,"{'lat': 55.743382, 'lon': 37.629523}","115184, пятницкий пер., д. 2",postamat,400.0,0.31495534254240265,0.25255951987301084
52904,ЦАО,78,"{'lat': 55.757049, 'lon': 37.614359}",метро Охотный ряд,metro,400.0,0.3635956082251943,0.30103718366022947
52905,ЦАО,78,"{'lat': 55.756888, 'lon': 37.614546}",метро Охотный ряд,metro,400.0,0.36465356087115147,0.3022133727288096
52914,ЦАО,79,"{'lat': 55.7456522, 'lon': 37.6053316}",метро Кропоткинская,metro,400.0,0.2991346384369693,0.2433631775411908
